,dataset,task,type,n_train,unique,overlap,eccentricity,avg_shortest_path,density,clustering,balance
0,rel-amazon,user-churn,entity,4708383,0.3157661558118785,0.8312062179405203,2,1.3333333333333333,0.6666666666666666,0.0,0.3760433252774891
1,rel-amazon,item-churn,entity,2536014,0.15502871829571918,0.8763500797161387,2,1.3333333333333333,0.6666666666666666,0.0,0.43346448402887366
2,rel-avito,user-visits,entity,86619,0.5191470693496808,0.5860942732984583,2,1.6071428571428572,0.39285714285714285,0.0,0.0941133007769658
3,rel-avito,user-clicks,entity,59454,0.581542032495711,0.3941995166263855,2,1.6071428571428572,0.39285714285714285,0.0,0.038719009654522824
4,rel-avito,searchstream-click,auto,2212750,1.0,0.23837771219148315,2,1.6071428571428572,0.39285714285714285,0.0,0.0058312055135012995
5,rel-avito,searchinfo-isuserloggedon,auto,1291566,1.0,0.0,2,1.6071428571428572,0.39285714285714285,0.0,0.348238494974318
6,rel-event,user-repeat,entity,3842,0.3612701717855284,0.6869918699186992,1,1.4,0.6,0.3333333333333333,0.4898490369599167
7,rel-event,user-ignore,entity,19239,0.44269452674255416,0.6807967313585291,1,1.4,0.6,0.3333333333333333,0.16877176568428712
8,rel-f1,driver-dnf,entity,11411,0.06835509596003855,0.2857142857142857,3,1.7777777777777777,0.3611111111111111,0.0,0.11962141793006748
9,rel-f1,driver-top3,entity,1353,0.0679970436067997,0.2857142857142857,3,1.7777777777777777,0.3611111111111111,0.0,0.17073170731707318
10,rel-hm,user-churn,entity,3832692,0.25663841498351553,0.8885551458263493,2,1.3333333333333333,0.6666666666666666,0.0,0.18126763121064776
11,rel-stack,user-engagement,entity,1360850,0.061381489510232576,0.9477404495274402,2,1.619047619047619,0.47619047619047616,0.3,0.04998346621596796
12,rel-stack,user-badge,entity,3386276,0.07085807536066169,0.9396342418546366,2,1.619047619047619,0.47619047619047616,0.3,0.048149648758695394
13,rel-trial,study-outcome,entity,11994,1.0,0.0,2,2.3142857142857145,0.14285714285714285,0.022222222222222223,0.3624312156078039
14,rel-trial,studies-has_dmc,auto,202840,1.0,0.0,2,2.3142857142857145,0.14285714285714285,0.022222222222222223,0.3516860579767304
15,rel-trial,eligibilities-adult,auto,234366,1.0,0.0,3,2.3142857142857145,0.14285714285714285,0.0,0.07951238660897912
16,rel-trial,eligibilities-child,auto,234366,1.0,0.0,3,2.3142857142857145,0.14285714285714285,0.0,0.19253646006673322
17,rel-arxiv,paper-citation,entity,534233,0.25491311843334274,0.7030759540723608,2,2.066666666666667,0.3333333333333333,0.0,0.4748995288572589
18,rel-ratebeer,beer-churn,entity,2470686,0.2089978248955958,0.4545647903712137,3,2.051282051282051,0.2692307692307692,0.06666666666666667,0.4564400332539222
19,rel-ratebeer,user-churn,entity,373709,0.4122753265241137,0.35210817717206133,3,2.051282051282051,0.2692307692307692,0.16666666666666666,0.4994313757495806
20,rel-ratebeer,brewer-dormant,entity,98697,0.28707052899277585,0.6406574605890261,3,2.051282051282051,0.2692307692307692,0.16666666666666666,0.3326646199985815
