,dataset,task,type,n_train,unique,overlap,eccentricity,avg_shortest_path,density,clustering,n_classes,freq_ratio,hhi
0,rel-stack,badges-class,auto,448358,1.0,0.0,3,1.619047619047619,0.47619047619047616,0,3,58.644606724478926,0.7551421026088067
1,rel-arxiv,author-category,entity,210769,0.483401259198459,0.6214600933047535,4,2.066666666666667,0.3333333333333333,0,53,inf,0.04705885062710864
2,rel-salt,item-plant,auto,1622787,1.0,0.0,2,1.6666666666666667,0.5,0,34,116181.33333333333,0.4265610903076753
3,rel-salt,item-shippoint,auto,1622787,1.0,0.0,2,1.6666666666666667,0.5,0,81,840134.0,0.2910307393276246
4,rel-salt,item-incoterms,auto,1622787,1.0,0.0,2,1.6666666666666667,0.5,0,13,345900.0,0.4383658257427666
5,rel-salt,sales-office,auto,340491,1.0,0.0,3,1.6666666666666667,0.5,0,30,339267.0,0.9928247675641683
6,rel-salt,sales-group,auto,340491,1.0,0.0,3,1.6666666666666667,0.5,0,502,11576.0,0.008094861859903317
7,rel-salt,sales-payterms,auto,340491,1.0,0.0,3,1.6666666666666667,0.5,0,154,100343.0,0.14106481598781218
8,rel-salt,sales-shipcond,auto,340491,1.0,0.0,3,1.6666666666666667,0.5,0,46,97537.0,0.1597341801561728
9,rel-salt,sales-incoterms,auto,340491,1.0,0.0,3,1.6666666666666667,0.5,0,13,106798.0,0.4249638481718244
