,dataset,task,type,n_train,unique,overlap,eccentricity,avg_shortest_path,density,clustering,min,max,median,mean,skewness,kurtosis
0,rel-amazon,user-ltv,entity,4708383,0.3157661558118785,0.8312062179405203,2,1.3333333333333333,0.6666666666666666,0.0,0.0,9511.460000000001,0.0,16.965935298806407,20.694757780362934,1334.6179969926554
1,rel-amazon,item-ltv,entity,2707679,0.14939917176297485,0.8820135251830834,2,1.3333333333333333,0.6666666666666666,0.0,0.0,198419.80000000008,20.78,67.57190410310822,133.17078530023025,29079.13288656272
2,rel-amazon,review-rating,auto,11822796,1.0,0.4048589041089222,1,1.3333333333333333,0.6666666666666666,0.0,1.0,5.0,5.0,4.339022159576416,-1.668067455291748,2.2131471633911133
3,rel-avito,ad-ctr,entity,5100,0.691764705882353,0.5044052863436124,2,1.6071428571428572,0.39285714285714285,0.0,0.0005165289256198347,1.0,0.017857142857142856,0.04456519150977653,6.639687822920496,56.43465752770417
4,rel-event,user-attendance,entity,19239,0.44269452674255416,0.6807967313585291,1,1.4,0.6,0.3333333333333333,0.0,16.0,0.0,0.36270076407297674,5.025050322826102,54.13674383081892
5,rel-event,users-birthyear,auto,33937,1.0,0.0,1,1.4,0.6,0.3333333333333333,1900.0,1999.0,1991.0,1988.8979285146006,-4.142463544657147,27.698882462602786
6,rel-f1,driver-position,entity,7453,0.10344827586206896,0.21428571428571427,3,1.7777777777777777,0.3611111111111111,0.0,1.0,39.0,13.333333333333334,13.901437899727178,0.524249352617975,0.0990218233298732
7,rel-f1,results-position,auto,8997,1.0,0.0,2,1.7777777777777777,0.3611111111111111,0.0,1.0,33.0,7.0,7.05190619095254,0.593194648233699,0.21422094118433144
8,rel-f1,qualifying-position,auto,2228,1.0,0.0,2,1.7777777777777777,0.3611111111111111,0.0,1.0,28.0,12.0,11.759874326750449,0.1137639643667395,-1.0328441655682503
9,rel-hm,item-sales,entity,5488184,0.019230769230769232,1.0,2,1.3333333333333333,0.6666666666666666,0.0,0.0,87.16259322033824,0.0,0.07596521383369131,21.038458057323307,1009.4337064661484
10,rel-hm,transactions-price,auto,14844291,1.0,0.0,1,1.3333333333333333,0.6666666666666666,0.0,1.694915254237288e-05,0.5067796610169492,0.0254067796610169,0.028153353399736288,3.0540589524348483,24.305080476900166
11,rel-stack,post-votes,entity,2453921,0.06159978255208705,0.9394542053286763,2,1.619047619047619,0.47619047619047616,0.3,0.0,78.0,0.0,0.09305108029150083,20.774536342540213,1182.1309718778434
12,rel-trial,study-adverse,entity,43335,1.0,0.0,2,2.3142857142857145,0.14285714285714285,0.022222222222222223,0.0,28085.0,2.0,39.84326756663205,39.10551945513289,2370.114540261815
13,rel-trial,site-success,entity,151407,0.689162324066919,0.36835124021753546,4,2.3142857142857145,0.14285714285714285,0.0,0.0,1.0,0.0,0.4423955379010611,0.23754256324306708,-1.8594902009405245
14,rel-trial,studies-enrollment,auto,233072,1.0,0.0,2,2.3142857142857145,0.14285714285714285,0.022222222222222223,0.0,67128927.0,60.0,2588.4208098784925,230.56140310050924,70098.34511132278
15,rel-arxiv,author-publication,entity,210769,0.483401259198459,0.6214600933047535,4,2.066666666666667,0.3333333333333333,0.0,1.0,67.0,1.0,1.5353206591102107,7.056743947177559,170.94118861072158
16,rel-ratebeer,user-count,entity,373709,0.4122753265241137,0.35210817717206133,3,2.051282051282051,0.2692307692307692,0.16666666666666666,0.0,5685.0,0.0,24.683968007192764,9.348329513773377,218.38403655721635
17,rel-ratebeer,beer_ratings-total_score,auto,10620177,1.0,0.0,3,2.051282051282051,0.2692307692307692,0.6666666666666666,0.2,5.0,3.4,3.3571790614090204,-0.7665555704545888,1.4974357785165546
