,name,average_precision,accuracy,f1,roc_auc,overfit
0,Tabular,0.8363062579330117,0.6851851851851852,0.8109495295124037,0.7119601815253991,0.794261125496872
1,GraphSAGE_shallow,0.833794681073937,0.7207977207977208,0.7975206611570248,0.7231152100717317,0.8186677620999315
2,GraphSAGE_medium,0.8013145374043575,0.7108262108262108,0.8208296557811121,0.6975211047674816,0.7928983231349227
3,GraphSAGE_deep,0.8270234206905145,0.707977207977208,0.820017559262511,0.7206411945542379,0.8261331378551514
4,RelGNN_shallow,0.8373260771690927,0.7051282051282052,0.8270676691729323,0.7026838432635534,0.8477624328499918
5,RelGNN_medium,0.8100665791045819,0.7051282051282052,0.8270676691729323,0.6886400234226321,0.8002134111326851
6,RelGNN_deep,0.8551968343864684,0.7051282051282052,0.8270676691729323,0.7101790855414043,0.8285124497103993
7,DBFormer_shallow,0.8462481251794447,0.6908831908831908,0.8134135855546002,0.7063582686771093,0.8607369378923618
8,DBFormer_medium,0.8066930256768083,0.7037037037037037,0.8257956448911222,0.6881910896403649,0.8722148259672603
9,DBFormer_deep,0.8222402463549867,0.7293447293447294,0.8272727272727273,0.7323281120382569,0.8712480126074413
10,RelGT_shallow,0.8475262491609217,0.7051282051282052,0.8270676691729323,0.7514077977846094,0.9573835865041774
11,RelGT_medium,0.8431176398102238,0.6851851851851852,0.8109495295124037,0.7211047674815791,0.8645689514857141
12,RelGT_deep,0.8525532568743464,0.6538461538461539,0.7338444687842278,0.7154638169130922,0.9023233894570664
13,GraphSAGE-boost,0.8614142090346624,0.7307692307692307,0.8307967770814683,0.7572195383789586,0.8592828921505183
14,GraphSAGE-rev_boost,0.8249719536933956,0.6965811965811965,0.816220880069025,0.7330844678670765,0.8333797604708885
15,RelGNN-boost,0.8412371684750255,0.7051282051282052,0.8270676691729323,0.7196262138291123,0.8435840280775458
16,RelGNN-rev_boost,0.8384168185918635,0.7051282051282052,0.8270676691729323,0.7235592641389743,0.8455096702724147
17,DBFormer-boost,0.8498818485910526,0.6866096866096866,0.811965811965812,0.7180647050212268,0.8688402228484325
18,DBFormer-rev_boost,0.8343462422194521,0.7222222222222222,0.8257372654155496,0.7329136778412141,0.8713695053932933
19,RelGT-boost,0.8615946438769764,0.7051282051282052,0.8270676691729323,0.748245742448641,0.9272178174282798
20,RelGT-rev_boost,0.8517434731111067,0.7051282051282052,0.8270676691729323,0.72941980188357,0.8906269897499876
21,All-shallow,0.8497635574359247,0.7293447293447294,0.8285198555956679,0.73938417996389,0.8422729636200963
22,Tabular+All-shallow,0.8317590767038625,0.7293447293447294,0.8266423357664233,0.7281217976870151,0.8150824999391438
23,All-medium,0.8346923144735929,0.7008547008547008,0.8229342327150084,0.7247743131801103,0.8226041594737651
24,Tabular+All-medium,0.837085891310652,0.7051282051282052,0.8270676691729323,0.7197872444249256,0.8131291794679388
25,All-deep,0.8402742416607296,0.6923076923076923,0.815068493150685,0.7286097691894793,0.838726882174707
26,Tabular+All-deep,0.8192576643727567,0.6908831908831908,0.8156329651656754,0.724969501781096,0.8338095521701421
27,All-boost,0.8357166821395329,0.7122507122507122,0.8218694885361552,0.7448201825013419,0.8430372124667359
28,Tabular+All-boost,0.8568264537446335,0.7065527065527065,0.8160714285714286,0.7424584004294148,0.8334262680858987
29,GraphSAGE+RelGNN-boost,0.8473314203700473,0.7165242165242165,0.8237378210806023,0.7436246523203045,0.8405015211194953
30,Tabular+GraphSAGE+RelGNN-boost,0.8495793410028646,0.7051282051282052,0.8270676691729323,0.7435856146001074,0.8476182028112481
31,GraphSAGE+DBFormer-boost,0.8485079737209841,0.7507122507122507,0.8338081671415005,0.7453911091592251,0.8521713067774602
32,Tabular+GraphSAGE+DBFormer-boost,0.8309096876966178,0.6923076923076923,0.8125,0.7129898013955984,0.7992636255012767
33,GraphSAGE+RelGT-boost,0.8534254343433939,0.7193732193732194,0.8255093002657219,0.7494949494949497,0.8484819415168168
34,Tabular+GraphSAGE+RelGT-boost,0.8475365285851522,0.7051282051282052,0.8270676691729323,0.7327965646806226,0.8168287603109099
35,RelGNN+DBFormer-boost,0.8377244171326765,0.7051282051282052,0.8270676691729323,0.7165959107988094,0.8519924668399175
36,Tabular+RelGNN+DBFormer-boost,0.7975038874796758,0.7051282051282052,0.8270676691729323,0.7006002049480311,0.8150527695153613
37,RelGNN+RelGT-boost,0.8451930966996097,0.7051282051282052,0.8270676691729323,0.7118137900746595,0.8401915468970813
38,Tabular+RelGNN+RelGT-boost,0.8560840776641394,0.7051282051282052,0.8270676691729323,0.7411799150929587,0.8597005362986291
39,DBFormer+RelGT-boost,0.856892647915537,0.6851851851851852,0.8109495295124037,0.7246669594495682,0.8682891785090643
40,Tabular+DBFormer+RelGT-boost,0.8428640037836044,0.6851851851851852,0.8109495295124037,0.7334309276338261,0.8711699407829642
