,name,accuracy,average_precision,f1,roc_auc,overfit
0,Tabular,0.831984667802385,0.9469719220203004,0.847122650649099,0.9212017695518324,1.0084451867498585
1,GraphSAGE_shallow,0.6236158432708688,0.9384594335224582,0.7548373673625078,0.9036998500941752,0.954403087761414
2,GraphSAGE_medium,0.6114778534923339,0.9169877553522824,0.7493646541658081,0.8717070730664235,0.9180787022513416
3,GraphSAGE_deep,0.5813458262350937,0.9041426591274152,0.7351118296954998,0.8586784166160026,0.9108699568555382
4,RelGNN_shallow,0.7726788756388415,0.8770258276823757,0.7818980488303198,0.8628859031900437,0.8972448991238946
5,RelGNN_medium,0.821763202725724,0.945264737336788,0.833499104833897,0.9173410845522494,0.961267838768142
6,RelGNN_deep,0.8067504258943782,0.9458389778726904,0.8095238095238095,0.9183495914470234,0.9738727283332096
7,DBFormer_shallow,0.6114778534923339,0.6431175993574672,0.7483274708600594,0.6380107983230217,0.7304069395252542
8,DBFormer_medium,0.6450170357751278,0.6648608925544935,0.7646477481293237,0.6490974125226497,0.7497361561085685
9,DBFormer_deep,0.6438458262350937,0.8836637404686601,0.764121006981172,0.8827977618062012,0.968538942204416
10,RelGT_shallow,0.7728918228279387,0.91626054765778,0.7859078590785907,0.8669415141903893,0.9141341275149316
11,RelGT_medium,0.7958901192504259,0.9482019643009838,0.8419751051026296,0.9193573299999404,0.9724391068901864
12,RelGT_deep,0.6815374787052811,0.94479866515242,0.7832137421178517,0.9138488776807214,0.9625125336468195
13,GraphSAGE-boost,0.6162691652470187,0.9298337751010188,0.7507262415271821,0.8885049818354671,0.934607800036906
14,GraphSAGE-rev_boost,0.5865630323679727,0.9062861322530292,0.7349668964575797,0.8457200750870228,0.8783202584005269
15,RelGNN-boost,0.8060051107325383,0.938255737845714,0.8195682313329372,0.9086458296080394,0.9473525916946086
16,RelGNN-rev_boost,0.7895017035775128,0.9446610884340269,0.792135422142782,0.916003284964118,0.9658001460854988
17,DBFormer-boost,0.6254258943781942,0.7974517032496662,0.755116246693582,0.8034365928909473,0.9097230802107169
18,DBFormer-rev_boost,0.6442717206132879,0.870512638879937,0.764369842725157,0.8789104875217557,0.966509273498738
