,name,average_precision,accuracy,f1,roc_auc,overfit
0,Tabular,0.666710114296975,0.5709090909090909,0.5902777777777778,0.5855702057075054,0.6125154421287389
1,GraphSAGE_shallow,0.7209135905594998,0.6484848484848484,0.7344322344322345,0.6700809996004504,0.8642178401641056
2,GraphSAGE_medium,0.7459616683039885,0.6727272727272727,0.7443181818181818,0.6996416161175887,0.9201973238374674
3,GraphSAGE_deep,0.7387361483001768,0.6642424242424242,0.7323671497584541,0.6925526376327292,0.9120638999464349
4,RelGNN_shallow,0.7612553416462969,0.6484848484848484,0.7128712871287128,0.7044543726465924,0.9590740043802565
5,RelGNN_medium,0.7518348355901452,0.6460606060606061,0.7085828343313373,0.6861053600184034,1.000602278299298
6,RelGNN_deep,0.7465052015367992,0.6872727272727273,0.7602230483271375,0.7070332836923225,0.9582448709150273
7,DBFormer_shallow,0.6824211009944292,0.6145454545454545,0.7210526315789474,0.6193533350283922,0.9604638957048695
8,DBFormer_medium,0.6888721716230255,0.616969696969697,0.740983606557377,0.626130543750681,0.9644714363572691
9,DBFormer_deep,0.721405036374724,0.6157575757575757,0.7395234182415776,0.6616359739929534,0.948615448458466
10,RelGT_shallow,0.756426516632166,0.6618181818181819,0.7325023969319271,0.6942053200634436,0.8996350630186661
11,RelGT_medium,0.7608783426643397,0.6642424242424242,0.7418452935694315,0.7127359461455571,0.9533884063192637
12,RelGT_deep,0.7599447385995008,0.6654545454545454,0.7513513513513513,0.7143523058854868,0.9911496684134738
13,GraphSAGE-boost,0.7475487235788706,0.6678787878787878,0.7419962335216572,0.6893380794982626,0.8258576855402203
14,GraphSAGE-rev_boost,0.7565329098953949,0.6666666666666666,0.7398297067171239,0.6974138244161128,0.8721566437898107
15,RelGNN-boost,0.7684653510265065,0.6593939393939394,0.7366447985004686,0.7092610753937987,0.9510589934400047
16,RelGNN-rev_boost,0.7670362946651003,0.6715151515151515,0.7493061979648473,0.7127056772365696,0.9131461380040611
17,DBFormer-boost,0.731552010937961,0.6133333333333333,0.7470261697065821,0.6671146465196809,0.948561659158859
18,DBFormer-rev_boost,0.7425670839835505,0.6290909090909091,0.7466887417218543,0.6922075720702724,0.9914401550092906
19,RelGT-boost,0.77065317629241,0.6715151515151515,0.7497691597414589,0.7115615124768443,0.9225711205049272
20,RelGT-rev_boost,0.7734063231843646,0.6727272727272727,0.7509225092250923,0.7187957817248436,0.9438054916098578
21,All-shallow,0.747489209807227,0.6593939393939394,0.7429094236047575,0.6902582543314809,0.8157207689877788
22,Tabular+All-shallow,0.7457729087013083,0.6278787878787879,0.6981317600786627,0.6701778601092103,0.728564908748583
23,All-medium,0.7567483671878377,0.6472727272727272,0.7332722273143905,0.6943445570447859,0.8094548411628452
24,Tabular+All-medium,0.7540395090127507,0.6412121212121212,0.7103718199608611,0.6781627983000981,0.7343591106115774
25,All-deep,0.765419899487345,0.6654545454545454,0.7495462794918331,0.7125664402552273,0.926576964791479
26,Tabular+All-deep,0.7498545296296979,0.6290909090909091,0.7046332046332047,0.6770973327037402,0.7298820766505563
27,All-boost,0.7709863547221868,0.6484848484848484,0.7329650092081031,0.7033828532684367,0.8344767371368037
28,Tabular+All-boost,0.7644611695768178,0.6424242424242425,0.7070506454816285,0.6961304226750451,0.7501313584384665
29,GraphSAGE+RelGNN-boost,0.7395160371426599,0.6703030303030303,0.7509157509157509,0.6920199048345501,0.8525225286377021
30,Tabular+GraphSAGE+RelGNN-boost,0.7483848676568854,0.6218181818181818,0.6904761904761905,0.6681801121160389,0.7207006992857379
31,GraphSAGE+DBFormer-boost,0.7373825888967162,0.6703030303030303,0.7424242424242424,0.6841318271524222,0.8312962121350935
32,Tabular+GraphSAGE+DBFormer-boost,0.7426177293942666,0.6206060606060606,0.6847935548841894,0.6626287942077416,0.7113070110088113
33,GraphSAGE+RelGT-boost,0.7518265784863463,0.6787878787878788,0.7584320875113947,0.7077778988534138,0.8891580718784511
34,Tabular+GraphSAGE+RelGT-boost,0.7407450615705391,0.6448484848484849,0.7163601161665053,0.6674354969549477,0.7066882037362099
35,RelGNN+DBFormer-boost,0.7627709297100606,0.6593939393939394,0.7624683009298394,0.7093458283389633,0.9360702526451281
36,Tabular+RelGNN+DBFormer-boost,0.7191195921498781,0.6048484848484849,0.6632231404958677,0.6379656871647719,0.6793486926155152
37,RelGNN+RelGT-boost,0.7798112530851813,0.673939393939394,0.7538883806038427,0.718801835506641,0.9115725517221189
38,Tabular+RelGNN+RelGT-boost,0.7595395157228774,0.6315151515151515,0.7048543689320388,0.6757412855811026,0.7321693553694707
39,DBFormer+RelGT-boost,0.7722714199861297,0.6666666666666666,0.7479376718606783,0.7169433244948118,0.940225816223196
40,Tabular+DBFormer+RelGT-boost,0.7567490917817197,0.6363636363636364,0.6926229508196722,0.6761226738343443,0.7285117293930443
