,name,r2,mae,rmse,overfit
0,Tabular,-0.0001609661241273,17621.72399912346,1329559.872539202,7.006482063011908
1,GraphSAGE_shallow,-0.0001593311256997,17607.031750435774,1329558.7857995357,7.040355709812372
2,GraphSAGE_medium,-0.0001633940603831,17609.663222169205,1329561.486321767,7.018936853511558
3,GraphSAGE_deep,-0.0001672438912518,17611.00635830716,1329564.045194626,6.999454492793896
4,RelGNN_shallow,-0.0001575004173544,17611.293343997684,1329557.568975674,7.002841711572367
5,RelGNN_medium,-0.000164260288926,17613.846361647007,1329562.062079622,6.98000920221614
6,RelGNN_deep,-0.000168759997017,17615.40997326314,1329565.0529055677,6.9703510378040265
7,DBFormer_shallow,-0.0001747430321854,17632.32488375005,1329569.0296457398,6.92232961939504
8,DBFormer_medium,-0.0001752598014521,17632.915491974116,1329569.373125881,6.911934878540506
9,DBFormer_deep,-0.0001751636865467,17633.725139709582,1329569.3092413584,6.915019268128166
10,RelGT_shallow,-0.0001542284305071,17599.825099066307,1329555.3941689888,7.094429494235895
11,RelGT_medium,-0.0001574998182414,17600.06432633309,1329557.5685774593,7.097874539141808
12,RelGT_deep,-0.0001509122309599,17604.232905093595,1329553.1899716137,7.065008018771832
13,GraphSAGE-boost,-0.0001630071912661,17607.108612783344,1329561.229180619,7.029180970116168
14,GraphSAGE-rev_boost,-0.000163699574641,17607.99167172876,1329561.6893885676,7.0244427201809305
15,RelGNN-boost,-0.0001641971234183,17612.214872990426,1329562.0200952862,6.988585073702836
16,RelGNN-rev_boost,-0.0001652941232843,17612.94142174284,1329562.7492400417,6.983569556881001
17,DBFormer-boost,-0.0001751358364379,17632.32773115638,1329569.290730276,6.918498439168049
18,DBFormer-rev_boost,-0.0001750829358952,17631.626441781398,1329569.2555689649,6.92212842378788
19,RelGT-boost,-0.0001417785572814,17597.732490422208,1329547.119021444,7.11026370517337
20,RelGT-rev_boost,-0.0001440481963155,17598.57040675069,1329548.6276027227,7.106941654820362
21,All-shallow,-0.0001595769334081787,17604.808586991127,1329558.9491813928,7.039418803534451
22,All-medium,-0.00016282979848125656,17607.244038348214,1329561.111272549,7.025531956076074
23,All-deep,-0.0001627492325502189,17607.515520037807,1329561.057722603,7.016128035078461
24,All-boost,-0.00016360925758851508,17607.361965076194,1329561.6293573468,7.0267612002092985
25,GraphSAGE+RelGNN-boost,-0.00016338687006212105,17608.667087004862,1329561.4815425614,7.015353931739616
26,GraphSAGE+DBFormer-boost,-0.00016851368246673104,17614.099524277288,1329564.8891875774,6.994311034008046
27,GraphSAGE+RelGT-boost,-0.0001490340468675022,17600.412049950217,1329551.941586598,7.074345634060966
